Date,VALE3,PETR4,ITUB4,PETR3,BBDC4,BBAS3,WEGE3,ELET3,SBSP3,B3SA3,ABEV3,ITSA4,BPAC11,EQTL3,RENT3,JBSS3,PRIO3,RDOR3,SUZB3,EMBR3,RADL3,RAIL3,VBBR3,GGBR4,UGPA3,BBSE3,ENEV3,VIVT3,CMIG4,BBDC3
2022-10-04,65.60188293457031,19.948772430419922,26.246231079101562,22.032085418701172,18.43613052368164,17.121824264526367,32.13325119018555,43.88590621948242,55.31632614135742,13.440471649169922,14.660826683044434,7.652677536010742,25.18228530883789,27.49607276916504,61.6650276184082,21.745630264282227,30.281362533569336,30.53315544128418,43.16332244873047,12.640000343322754,22.374601364135742,19.24506187438965,16.364246368408203,17.17412757873535,12.003264427185059,22.465436935424805,14.069999694824219,36.63722610473633,6.618282318115234,15.00066089630127
2022-10-05,66.6146011352539,20.699161529541016,26.246231079101562,22.812257766723633,18.636333465576172,17.396791458129883,32.54893112182617,43.32566452026367,55.31632614135742,13.672524452209473,14.552497863769531,7.674926280975342,25.305728912353516,27.865276336669922,62.003177642822266,21.211042404174805,31.249807357788086,30.63953971862793,44.266685485839844,12.609999656677246,22.20644187927246,19.40378189086914,16.320066452026367,16.999088287353516,11.955479621887207,23.05927276611328,13.970000267028809,35.7021484375,6.46613883972168,15.234909057617188
2022-10-06,65.11715698242188,21.405027389526367,25.77061653137207,23.486328125,18.253328323364258,17.706668853759766,32.60694122314453,44.790164947509766,54.647560119628906,13.765345573425293,14.579578399658203,7.637847423553467,25.65706443786621,27.36004638671875,62.62311553955078,21.340377807617188,31.559310913085938,31.316556930541992,44.09693908691406,12.859999656677246,22.361345291137695,19.65178680419922,16.16985321044922,17.194320678710938,12.022377967834473,23.23491668701172,13.930000305175781,35.24797439575195,6.46613883972168,15.04404354095459
2022-10-07,65.35953521728516,21.385950088500977,25.823471069335938,23.367740631103516,17.818113327026367,17.74594497680664,32.23958206176758,44.65256118774414,54.85774230957031,13.737500190734863,13.920563697814941,7.585939884185791,25.001869201660156,27.204593658447266,60.716331481933594,21.124818801879883,31.958667755126953,30.15596580505371,43.748008728027344,12.359999656677246,21.97644805908203,18.957378387451172,16.240541458129883,17.22125244140625,11.840799331665039,23.55274200439453,13.569999694824219,35.63981628417969,6.3022894859313965,14.67965316772461
2022-10-10,64.04386138916016,21.144302368164062,25.550445556640625,23.155532836914062,17.54827308654785,17.488441467285156,33.12895584106445,45.13417434692383,55.53606414794922,13.774628639221191,13.721956253051758,7.571108818054199,24.906911849975586,27.554365158081055,61.373836517333984,22.14225959777832,31.409549713134766,30.213991165161133,45.50208282470703,12.539999961853027,22.16420555114746,18.08440589904785,15.922450065612793,17.382827758789062,11.879026412963867,23.61128807067871,13.569999694824219,35.809017181396484,6.337399959564209,14.540836334228516
2022-10-11,63.61107635498047,20.985321044921875,25.37429428100586,22.930843353271484,17.504751205444336,17.069456100463867,32.77127456665039,44.7705078125,54.87685012817383,13.319804191589355,13.532376289367676,7.4747090339660645,24.897417068481445,27.83612823486328,61.79653549194336,21.236909866333008,31.449485778808594,29.082420349121094,44.91739273071289,12.180000305175781,22.00461196899414,18.848255157470703,15.356942176818848,17.409759521484375,11.907697677612305,22.950542449951172,13.579999923706055,35.63090515136719,6.232069492340088,14.40202522277832
2022-10-13,62.47716522216797,21.583086013793945,25.224567413330078,23.648603439331055,17.252321243286133,17.187297821044922,32.35559844970703,44.22991943359375,53.6826286315918,12.902111053466797,13.550432205200195,7.43021821975708,25.07783317565918,26.835386276245117,61.918636322021484,21.357624053955078,31.709070205688477,28.908329010009766,45.06827926635742,11.59000015258789,21.73236846923828,19.612106323242188,15.1360445022583,17.443422317504883,11.687891006469727,23.561107635498047,13.399999618530273,35.515132904052734,6.132589817047119,14.211156845092773
2022-10-14,60.44306564331055,21.25240707397461,25.233367919921875,23.186744689941406,17.13916015625,17.091276168823242,31.765899658203125,43.148746490478516,52.25912094116211,12.892828941345215,13.387935638427734,7.400555610656738,24.925901412963867,26.505046844482422,60.67876434326172,20.900636672973633,31.000207901000977,27.786428451538086,45.06827926635742,11.399999618530273,21.0095272064209,19.145858764648438,14.738424301147461,17.03274917602539,11.534982681274414,23.00072479248047,13.5,35.078765869140625,6.003852367401123,14.150424003601074
2022-10-17,61.39518737792969,21.23333168029785,25.435937881469727,23.036943435668945,17.26102638244629,17.235301971435547,32.49093246459961,45.26194763183594,53.615753173828125,13.134164810180664,13.469183921813965,7.482124328613281,25.467153549194336,26.786808013916016,62.27557373046875,21.340377807617188,31.299726486206055,27.8928165435791,46.61487579345703,12.149999618530273,21.4038028717041,19.87995147705078,15.162550926208496,17.38956069946289,11.879026412963867,23.452375411987305,13.680000305175781,34.87393569946289,6.278883934020996,14.254532814025879
2022-10-18,62.28673553466797,21.75478172302246,26.061267852783203,23.55498504638672,17.391586303710938,17.436073303222656,33.4093017578125,46.21535110473633,53.883262634277344,12.994932174682617,13.451128005981445,7.63043212890625,25.932435989379883,27.22402572631836,63.47787857055664,21.935321807861328,32.178314208984375,28.502124786376953,46.8317756652832,12.529999732971191,21.835634231567383,20.276756286621094,16.090330123901367,17.645387649536133,12.547998428344727,24.096397399902344,13.800000190734863,35.069854736328125,6.524656295776367,14.384675025939941
